x,y,label
-0.14,0.17,A
0.28,-0.06,A
-0.32,0.19,A
0.15,0.28,A
-0.24,-0.11,A
0.06,-0.27,A
0.22,0.13,A
-0.19,0.29,A
-0.07,-0.23,A
0.11,0.32,A
-0.21,-0.15,A
0.25,-0.18,A
-0.12,0.33,A
0.09,-0.31,A
-0.03,0.26,A
0.18,0.22,A
-0.26,-0.09,A
0.14,-0.24,A
0.02,0.29,A
-0.17,0.16,A
3.04,3.02,B
3.25,3.21,B
3.45,3.43,B
3.67,3.66,B
3.85,3.84,B
4.06,4.03,B
4.27,4.25,B
4.48,4.47,B
4.69,4.68,B
4.91,4.90,B
3.15,3.23,B
3.37,3.42,B
3.58,3.61,B
3.79,3.80,B
4.01,4.00,B
4.22,4.21,B
4.43,4.42,B
4.64,4.63,B
4.86,4.85,B
5.07,5.06,B
3.55,3.05,C
3.75,3.24,C
3.96,3.43,C
4.17,3.62,C
4.38,3.81,C
4.59,4.00,C
4.80,4.19,C
5.01,4.38,C
5.22,4.57,C
5.43,4.76,C
3.66,3.15,C
3.87,3.34,C
4.08,3.53,C
4.29,3.72,C
4.50,3.91,C
4.71,4.10,C
4.92,4.29,C
5.13,4.48,C
5.34,4.67,C
5.55,4.86,C
